2014-10-30 08:34:57 | -=< Temperature Logger Restart >=-
2014-10-30 08:37:02 | -=< Temperature Logger Restart >=-
2014-10-30 08:37:02 | TEMPLOG : Ground Loop | 059.000
2014-10-30 08:37:02 | TEMPLOG : Ambient Air | 051.800
2014-10-30 08:38:03 | TEMPLOG : Ambient Air | 052.700
2014-10-30 08:41:04 | TEMPLOG : Ambient Air | 053.600
2014-10-30 08:44:05 | TEMPLOG : Ambient Air | 054.500
2014-10-30 08:47:07 | TEMPLOG : Ambient Air | 055.400
2014-10-30 08:49:09 | TEMPLOG : Ambient Air | 056.300
2014-10-30 08:52:10 | TEMPLOG : Ambient Air | 057.200
2014-10-30 08:55:12 | TEMPLOG : Ambient Air | 058.100
2014-10-30 08:58:14 | TEMPLOG : Ambient Air | 059.000
2014-10-30 09:00:15 | TEMPLOG : Ground Loop | 059.000
2014-10-30 09:00:15 | TEMPLOG : Ambient Air | 059.000
2014-10-30 09:01:16 | TEMPLOG : Ambient Air | 059.900
2014-10-30 09:04:17 | TEMPLOG : Ambient Air | 060.800
2014-10-30 09:08:20 | TEMPLOG : Ambient Air | 061.700
2014-10-30 09:11:21 | TEMPLOG : Ambient Air | 062.600
2014-10-30 09:14:23 | TEMPLOG : Ambient Air | 063.500
2014-10-30 09:17:25 | TEMPLOG : Ambient Air | 064.400
2014-10-30 09:20:27 | TEMPLOG : Ambient Air | 065.300
2014-10-30 09:23:28 | TEMPLOG : Ambient Air | 066.200
2014-10-30 09:27:33 | TEMPLOG : Ambient Air | 067.100
2014-10-30 09:30:35 | TEMPLOG : Ambient Air | 068.000
2014-10-30 09:33:37 | TEMPLOG : Ambient Air | 068.900
2014-10-30 09:36:40 | TEMPLOG : Ambient Air | 069.800
2014-10-30 09:43:24 | -=< Temperature Logger Restart >=-
2014-10-30 09:43:24 | TEMPLOG : Ground Loop | 059.000
2014-10-30 09:43:25 | TEMPLOG : Ambient Air | 070.700
2014-10-30 09:44:25 | TEMPLOG : Ambient Air | 071.600
2014-10-30 09:47:27 | TEMPLOG : Ambient Air | 072.500
2014-10-30 09:50:28 | TEMPLOG : Ambient Air | 073.400
2014-10-30 09:54:31 | TEMPLOG : Ambient Air | 074.300
2014-10-30 09:58:33 | TEMPLOG : Ambient Air | 075.200
2014-10-30 10:00:34 | TEMPLOG : Ground Loop | 059.000
2014-10-30 10:00:34 | TEMPLOG : Ambient Air | 075.200
2014-10-30 10:02:36 | TEMPLOG : Ambient Air | 076.100
2014-10-30 10:05:38 | TEMPLOG : Ambient Air | 077.000
2014-10-30 10:10:42 | TEMPLOG : Ambient Air | 077.900
2014-10-30 10:14:45 | TEMPLOG : Ambient Air | 078.800
2014-10-30 10:18:49 | TEMPLOG : Ambient Air | 079.700
2014-10-30 10:23:53 | TEMPLOG : Ambient Air | 080.600
2014-10-30 10:27:56 | TEMPLOG : Ambient Air | 081.500
2014-10-30 10:32:58 | TEMPLOG : Ambient Air | 082.400
2014-10-30 10:37:00 | TEMPLOG : Ambient Air | 083.300
2014-10-30 10:43:03 | TEMPLOG : Ambient Air | 084.200
2014-10-30 10:48:07 | TEMPLOG : Ambient Air | 085.100
2014-10-30 10:53:11 | TEMPLOG : Ambient Air | 086.000
2014-10-30 10:58:13 | TEMPLOG : Ambient Air | 086.900
2014-10-30 11:00:14 | TEMPLOG : Ground Loop | 059.000
2014-10-30 11:00:14 | TEMPLOG : Ambient Air | 086.900
2014-10-30 11:03:17 | TEMPLOG : Ambient Air | 087.800
2014-10-30 11:10:21 | TEMPLOG : Ambient Air | 088.700
2014-10-30 11:19:27 | TEMPLOG : Ambient Air | 089.600
2014-10-30 11:32:34 | TEMPLOG : Ambient Air | 090.500
2014-10-30 11:43:40 | TEMPLOG : Ambient Air | 091.400
2014-10-30 11:46:42 | TEMPLOG : Ambient Air | 090.500
2014-10-30 11:51:45 | TEMPLOG : Ambient Air | 091.400
2014-10-30 11:55:47 | TEMPLOG : Ambient Air | 092.300
2014-10-30 11:57:48 | TEMPLOG : Ambient Air | 093.200
2014-10-30 12:00:49 | TEMPLOG : Ground Loop | 059.000
2014-10-30 12:00:49 | TEMPLOG : Ambient Air | 092.300
2014-10-30 12:04:51 | TEMPLOG : Ambient Air | 093.200
2014-10-30 12:12:55 | TEMPLOG : Ambient Air | 094.100
2014-10-30 12:14:56 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:16:57 | TEMPLOG : Ambient Air | 094.100
2014-10-30 12:18:58 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:26:04 | TEMPLOG : Ambient Air | 094.100
2014-10-30 12:28:05 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:30:06 | TEMPLOG : Ambient Air | 095.900
2014-10-30 12:31:07 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:32:08 | TEMPLOG : Ambient Air | 094.100
2014-10-30 12:33:08 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:38:12 | TEMPLOG : Ambient Air | 094.100
2014-10-30 12:40:13 | TEMPLOG : Ambient Air | 095.000
2014-10-30 12:51:22 | TEMPLOG : Ambient Air | 095.900
2014-10-30 12:52:22 | TEMPLOG : Ambient Air | 096.800
2014-10-30 12:53:23 | TEMPLOG : Ambient Air | 095.900
2014-10-30 12:54:24 | TEMPLOG : Ambient Air | 096.800
2014-10-30 13:00:26 | TEMPLOG : Ground Loop | 059.000
2014-10-30 13:00:26 | TEMPLOG : Ambient Air | 097.700
2014-10-30 13:02:27 | TEMPLOG : Ambient Air | 096.800
2014-10-30 13:19:38 | TEMPLOG : Ambient Air | 097.700
2014-10-30 13:20:39 | TEMPLOG : Ambient Air | 096.800
2014-10-30 13:24:42 | TEMPLOG : Ambient Air | 097.700
2014-10-30 13:26:43 | TEMPLOG : Ambient Air | 098.600
2014-10-30 13:28:44 | TEMPLOG : Ambient Air | 099.500
2014-10-30 13:34:47 | TEMPLOG : Ambient Air | 100.400
2014-10-30 13:44:52 | TEMPLOG : Ambient Air | 101.300
2014-10-30 13:45:52 | TEMPLOG : Ambient Air | 100.400
2014-10-30 13:57:58 | TEMPLOG : Ambient Air | 099.500
2014-10-30 14:00:00 | TEMPLOG : Ambient Air | 099.500
2014-10-30 14:05:04 | TEMPLOG : Ambient Air | 100.400
2014-10-30 14:14:09 | TEMPLOG : Ambient Air | 101.300
2014-10-30 14:15:09 | TEMPLOG : Ambient Air | 100.400
2014-10-30 14:24:16 | TEMPLOG : Ambient Air | 101.300
2014-10-30 14:25:16 | TEMPLOG : Ambient Air | 100.400
2014-10-30 14:35:24 | TEMPLOG : Ambient Air | 101.300
2014-10-30 14:38:26 | TEMPLOG : Ambient Air | 100.400
2014-10-30 14:41:28 | TEMPLOG : Ambient Air | 099.500
2014-10-30 14:53:37 | TEMPLOG : Ambient Air | 098.600
2014-10-30 14:57:41 | TEMPLOG : Ambient Air | 099.500
2014-10-30 15:00:42 | TEMPLOG : Ground Loop | 059.000
2014-10-30 15:00:42 | TEMPLOG : Ambient Air | 099.500
2014-10-30 15:09:47 | TEMPLOG : Ambient Air | 098.600
2014-10-30 15:23:54 | TEMPLOG : Ambient Air | 097.700
2014-10-30 15:26:56 | TEMPLOG : Ambient Air | 096.800
2014-10-30 15:35:00 | TEMPLOG : Ambient Air | 095.900
2014-10-30 15:45:08 | TEMPLOG : Ambient Air | 095.000
2014-10-30 15:48:09 | TEMPLOG : Ambient Air | 094.100
2014-10-30 16:00:18 | TEMPLOG : Ground Loop | 059.000
2014-10-30 16:00:19 | TEMPLOG : Ambient Air | 094.100
2014-10-30 16:02:20 | TEMPLOG : Ambient Air | 093.200
2014-10-30 16:08:23 | TEMPLOG : Ambient Air | 092.300
2014-10-30 16:11:25 | TEMPLOG : Ambient Air | 091.400
2014-10-30 16:16:28 | TEMPLOG : Ambient Air | 090.500
2014-10-30 16:23:34 | TEMPLOG : Ambient Air | 089.600
2014-10-30 16:26:37 | TEMPLOG : Ambient Air | 088.700
2014-10-30 16:32:41 | TEMPLOG : Ambient Air | 087.800
2014-10-30 16:36:43 | TEMPLOG : Ambient Air | 086.900
2014-10-30 16:39:44 | TEMPLOG : Ambient Air | 086.000
2014-10-30 16:43:47 | TEMPLOG : Ambient Air | 085.100
2014-10-30 16:47:49 | TEMPLOG : Ambient Air | 084.200
2014-10-30 16:51:51 | TEMPLOG : Ambient Air | 083.300
2014-10-30 16:56:53 | TEMPLOG : Ambient Air | 082.400
2014-10-30 16:59:55 | TEMPLOG : Ambient Air | 081.500
2014-10-30 17:00:56 | TEMPLOG : Ground Loop | 059.000
2014-10-30 17:00:56 | TEMPLOG : Ambient Air | 081.500
2014-10-30 17:01:57 | TEMPLOG : Ambient Air | 080.600
2014-10-30 17:04:59 | TEMPLOG : Ambient Air | 079.700
2014-10-30 17:09:03 | TEMPLOG : Ambient Air | 078.800
2014-10-30 17:11:04 | TEMPLOG : Ambient Air | 077.900
2014-10-30 17:14:06 | TEMPLOG : Ambient Air | 077.000
2014-10-30 17:16:07 | TEMPLOG : Ambient Air | 076.100
2014-10-30 17:19:11 | TEMPLOG : Ambient Air | 075.200
2014-10-30 17:22:12 | TEMPLOG : Ambient Air | 074.300
2014-10-30 17:24:13 | TEMPLOG : Ambient Air | 073.400
2014-10-30 17:26:14 | TEMPLOG : Ambient Air | 072.500
2014-10-30 17:29:17 | TEMPLOG : Ambient Air | 071.600
2014-10-30 17:31:19 | TEMPLOG : Ambient Air | 070.700
2014-10-30 17:33:20 | TEMPLOG : Ambient Air | 069.800
2014-10-30 17:35:21 | TEMPLOG : Ambient Air | 068.900
2014-10-30 17:37:23 | TEMPLOG : Ambient Air | 068.000
2014-10-30 17:39:23 | TEMPLOG : Ambient Air | 067.100
2014-10-30 17:41:25 | TEMPLOG : Ambient Air | 066.200
2014-10-30 17:43:28 | TEMPLOG : Ambient Air | 065.300
2014-10-30 17:45:30 | TEMPLOG : Ambient Air | 064.400
2014-10-30 17:46:31 | TEMPLOG : Ambient Air | 063.500
2014-10-30 17:48:32 | TEMPLOG : Ambient Air | 062.600
2014-10-30 17:49:33 | TEMPLOG : Ambient Air | 061.700
2014-10-30 17:51:34 | TEMPLOG : Ambient Air | 060.800
2014-10-30 17:53:36 | TEMPLOG : Ambient Air | 059.900
2014-10-30 17:55:38 | TEMPLOG : Ambient Air | 059.000
2014-10-30 17:58:39 | TEMPLOG : Ambient Air | 058.100
2014-10-30 18:00:40 | TEMPLOG : Ground Loop | 059.000
2014-10-30 18:00:40 | TEMPLOG : Ambient Air | 057.200
2014-10-30 18:04:42 | TEMPLOG : Ambient Air | 056.300
2014-10-30 18:08:44 | TEMPLOG : Ambient Air | 055.400
2014-10-30 18:11:47 | TEMPLOG : Ambient Air | 054.500
2014-10-30 18:14:48 | TEMPLOG : Ambient Air | 053.600
2014-10-30 18:18:51 | TEMPLOG : Ambient Air | 052.700
2014-10-30 18:29:54 | TEMPLOG : Ambient Air | 051.800
2014-10-30 18:34:57 | TEMPLOG : Ambient Air | 050.900
2014-10-30 18:44:02 | TEMPLOG : Ambient Air | 050.000
2014-10-30 18:50:05 | TEMPLOG : Ambient Air | 049.100
2014-10-30 18:57:09 | TEMPLOG : Ambient Air | 048.200
2014-10-30 19:00:10 | TEMPLOG : Ground Loop | 059.000
2014-10-30 19:00:11 | TEMPLOG : Ambient Air | 048.200
2014-10-30 19:05:13 | TEMPLOG : Ambient Air | 047.300
2014-10-30 19:19:21 | TEMPLOG : Ambient Air | 046.400
2014-10-30 19:25:27 | TEMPLOG : Ambient Air | 045.500
2014-10-30 19:42:41 | TEMPLOG : Ambient Air | 044.600
2014-10-30 19:43:41 | TEMPLOG : Ambient Air | 045.500
2014-10-30 19:46:44 | TEMPLOG : Ambient Air | 044.600
2014-10-30 19:50:46 | TEMPLOG : Ambient Air | 045.500
2014-10-30 19:52:48 | TEMPLOG : Ambient Air | 044.600
2014-10-30 20:00:52 | TEMPLOG : Ground Loop | 059.000
2014-10-30 20:00:52 | TEMPLOG : Ambient Air | 044.600
2014-10-30 20:15:00 | TEMPLOG : Ambient Air | 043.700
2014-10-30 20:16:01 | TEMPLOG : Ambient Air | 044.600
2014-10-30 20:17:01 | TEMPLOG : Ambient Air | 043.700
2014-10-30 20:24:05 | TEMPLOG : Ambient Air | 042.800
2014-10-30 20:36:13 | TEMPLOG : Ambient Air | 043.700
2014-10-30 20:43:17 | TEMPLOG : Ambient Air | 044.600
2014-10-30 20:59:28 | TEMPLOG : Ambient Air | 043.700
2014-10-30 21:00:28 | TEMPLOG : Ground Loop | 059.000
2014-10-30 21:00:28 | TEMPLOG : Ambient Air | 043.700
2014-10-30 21:10:34 | TEMPLOG : Ambient Air | 044.600
2014-10-30 21:11:36 | TEMPLOG : Ambient Air | 043.700
2014-10-30 21:21:41 | TEMPLOG : Ambient Air | 042.800
2014-10-30 21:28:48 | TEMPLOG : Ambient Air | 043.700
2014-10-30 21:34:51 | TEMPLOG : Ambient Air | 042.800
2014-10-30 21:35:53 | TEMPLOG : Ambient Air | 043.700
2014-10-30 21:36:54 | TEMPLOG : Ambient Air | 042.800
2014-10-30 21:43:59 | TEMPLOG : Ambient Air | 041.900
2014-10-30 21:55:06 | TEMPLOG : Ambient Air | 041.000
