2017-11-13 05:18:49 | -=< Temperature Logger Restart >=-
2017-11-13 05:18:49 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 05:18:49 | TEMPLOG : To   GeoLoop | 050.900
2017-11-13 05:18:49 | TEMPLOG : Table    One | 045.500
2017-11-13 05:19:50 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 05:19:50 | TEMPLOG : To   GeoLoop | 050.000
2017-11-13 05:20:51 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 05:23:55 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 05:23:56 | TEMPLOG : Table    One | 044.600
2017-11-13 05:24:56 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 05:25:57 | TEMPLOG : Table    One | 045.500
2017-11-13 05:27:59 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 05:27:59 | TEMPLOG : Table    One | 044.600
2017-11-13 05:32:03 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 05:36:07 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 05:40:11 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 05:46:16 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 05:51:20 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 05:59:28 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 06:00:29 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 06:00:30 | TEMPLOG : To   GeoLoop | 050.000
2017-11-13 06:00:30 | TEMPLOG : Table    One | 044.600
2017-11-13 06:01:30 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 06:02:31 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 06:03:32 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 06:04:32 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 06:05:33 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 06:08:35 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 06:08:36 | TEMPLOG : Table    One | 043.700
2017-11-13 06:10:37 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 06:10:38 | TEMPLOG : Table    One | 044.600
2017-11-13 06:11:39 | TEMPLOG : Table    One | 043.700
2017-11-13 06:12:40 | TEMPLOG : Table    One | 044.600
2017-11-13 06:13:40 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 06:13:41 | TEMPLOG : Table    One | 043.700
2017-11-13 06:14:41 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 06:15:42 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 06:16:43 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 06:20:46 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 06:21:46 | TEMPLOG : To   GeoLoop | 049.100
2017-11-13 06:22:47 | TEMPLOG : To   GeoLoop | 050.000
2017-11-13 06:29:54 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 06:30:55 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 06:31:56 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 06:37:01 | TEMPLOG : To   GeoLoop | 049.100
2017-11-13 06:41:05 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 06:42:06 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 06:43:08 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 06:44:08 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 06:49:13 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 06:51:17 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 06:53:19 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 06:58:23 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 07:00:24 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 07:00:25 | TEMPLOG : To   GeoLoop | 049.100
2017-11-13 07:00:25 | TEMPLOG : Table    One | 043.700
2017-11-13 07:08:32 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 07:11:34 | TEMPLOG : To   GeoLoop | 050.000
2017-11-13 07:13:36 | TEMPLOG : WellhouseOne | 041.900
2017-11-13 07:14:37 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 07:16:39 | TEMPLOG : WellhouseOne | 041.900
2017-11-13 07:16:39 | TEMPLOG : Table    One | 044.600
2017-11-13 07:17:40 | TEMPLOG : WellhouseOne | 041.000
2017-11-13 07:18:40 | TEMPLOG : WellhouseOne | 041.900
2017-11-13 07:26:47 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 07:27:47 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 07:28:48 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 07:28:48 | TEMPLOG : To   GeoLoop | 050.900
2017-11-13 07:29:49 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 07:31:51 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 07:31:53 | TEMPLOG : Table    One | 045.500
2017-11-13 07:33:54 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 07:34:55 | TEMPLOG : Table    One | 044.600
2017-11-13 07:35:56 | TEMPLOG : Table    One | 045.500
2017-11-13 07:36:56 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 07:39:58 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 07:44:00 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 07:52:10 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 07:54:12 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 07:56:13 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 07:58:16 | TEMPLOG : Table    One | 046.400
2017-11-13 07:59:16 | TEMPLOG : To   GeoLoop | 051.800
2017-11-13 08:00:17 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:00:17 | TEMPLOG : To   GeoLoop | 051.800
2017-11-13 08:00:18 | TEMPLOG : Table    One | 046.400
2017-11-13 08:01:18 | TEMPLOG : To   GeoLoop | 050.900
2017-11-13 08:02:19 | TEMPLOG : To   GeoLoop | 051.800
2017-11-13 08:04:21 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:05:21 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:06:22 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:08:23 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:12:27 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:13:28 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 08:14:29 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 08:15:30 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 08:16:30 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 08:19:34 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 08:20:35 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 08:21:37 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 08:21:37 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 08:21:38 | TEMPLOG : Table    One | 047.300
2017-11-13 08:22:38 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 08:22:38 | TEMPLOG : To   GeoLoop | 051.800
2017-11-13 08:23:39 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 08:23:40 | TEMPLOG : Table    One | 046.400
2017-11-13 08:24:41 | TEMPLOG : To   GeoLoop | 051.800
2017-11-13 08:24:41 | TEMPLOG : Table    One | 047.300
2017-11-13 08:25:42 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:26:43 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 08:29:46 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:31:49 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:32:49 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:34:51 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:38:54 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:46:01 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 08:48:04 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 08:49:05 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 08:53:09 | TEMPLOG : Table    One | 048.200
2017-11-13 09:00:14 | TEMPLOG : WellhouseOne | 042.800
2017-11-13 09:00:15 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 09:00:15 | TEMPLOG : Table    One | 048.200
2017-11-13 09:02:16 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 09:03:17 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 09:03:18 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 09:05:19 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 09:06:20 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 09:06:20 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 09:06:21 | TEMPLOG : Table    One | 049.100
2017-11-13 09:07:21 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 09:07:22 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 09:07:24 | TEMPLOG : Table    One | 048.200
2017-11-13 09:08:24 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 09:08:24 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 09:08:24 | TEMPLOG : Table    One | 049.100
2017-11-13 09:12:27 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 09:13:28 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 09:14:29 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 09:17:32 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 09:20:35 | TEMPLOG : Table    One | 050.000
2017-11-13 09:24:37 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 09:27:39 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 09:34:45 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 09:37:48 | TEMPLOG : To   GeoLoop | 056.300
2017-11-13 09:39:50 | TEMPLOG : Table    One | 050.900
2017-11-13 09:41:51 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 09:42:52 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 09:53:02 | TEMPLOG : Table    One | 051.800
2017-11-13 10:00:07 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 10:00:08 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 10:00:09 | TEMPLOG : Table    One | 051.800
2017-11-13 10:02:10 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 10:04:14 | TEMPLOG : Table    One | 052.700
2017-11-13 10:20:27 | TEMPLOG : Table    One | 053.600
2017-11-13 10:21:27 | TEMPLOG : To   GeoLoop | 058.100
2017-11-13 10:30:35 | TEMPLOG : To   GeoLoop | 059.000
2017-11-13 10:33:38 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 10:35:40 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 10:36:41 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 10:37:42 | TEMPLOG : Table    One | 054.500
2017-11-13 10:43:46 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 10:48:50 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 10:56:56 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 11:00:59 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 11:00:59 | TEMPLOG : To   GeoLoop | 059.000
2017-11-13 11:02:02 | TEMPLOG : To   GeoLoop | 059.900
2017-11-13 11:05:06 | TEMPLOG : Table    One | 055.400
2017-11-13 11:19:17 | TEMPLOG : To   GeoLoop | 060.800
2017-11-13 11:27:25 | TEMPLOG : Table    One | 056.300
2017-11-13 11:28:27 | TEMPLOG : Table    One | 055.400
2017-11-13 11:30:29 | TEMPLOG : Table    One | 056.300
2017-11-13 11:39:36 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 11:40:38 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 11:41:39 | TEMPLOG : To   GeoLoop | 061.700
2017-11-13 11:42:39 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 11:43:40 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 11:46:43 | TEMPLOG : WellhouseOne | 050.000
