2017-08-06 07:30:30 | -=< Temperature Logger Restart >=-
2017-08-06 07:30:31 | TEMPLOG : WellhouseOne | 059.000
2017-08-06 07:30:31 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:30:33 | TEMPLOG : Table    One | 067.100
2017-08-06 07:33:35 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 07:36:37 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:37:38 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 07:38:38 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 07:38:39 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:39:39 | TEMPLOG : WellhouseOne | 059.000
2017-08-06 07:40:40 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 07:42:43 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 07:43:44 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:45:47 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 07:46:47 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:48:49 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 07:49:49 | TEMPLOG : WellhouseOne | 059.000
2017-08-06 07:49:50 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 07:50:50 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 07:51:51 | TEMPLOG : WellhouseOne | 059.000
2017-08-06 07:53:53 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 07:58:58 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:00:59 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 08:00:59 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:04:03 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:05:04 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:21:21 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:23:23 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:26:27 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:27:28 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:30:31 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:31:32 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:33:33 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:35:35 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:36:36 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:37:36 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:38:37 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:40:39 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:41:41 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:46:47 | TEMPLOG : Table    One | 066.200
2017-08-06 08:48:49 | TEMPLOG : Table    One | 067.100
2017-08-06 08:52:51 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 08:53:52 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 08:54:53 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 08:55:53 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 08:55:54 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 08:56:54 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 08:57:55 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 08:58:56 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 08:58:56 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 08:59:56 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 09:00:57 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 09:00:58 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 09:00:58 | TEMPLOG : Table    One | 067.100
2017-08-06 09:01:59 | TEMPLOG : To   GeoLoop | 068.900
2017-08-06 09:06:01 | TEMPLOG : WellhouseOne | 059.900
2017-08-06 09:06:02 | TEMPLOG : To   GeoLoop | 069.800
2017-08-06 09:07:02 | TEMPLOG : WellhouseOne | 060.800
2017-08-06 09:14:09 | TEMPLOG : To   GeoLoop | 068.900
